adaptation_rate,choke_prob,cover_prob,max_ticks,n_agents,objective_controller,objective_progress,objective_radius,seed,stochasticity,ticks,wall_prob,weapon_cooldown_ticks
0.05372342351141696,0.05931410157606603,0.04160299405417513,200,30,1.0,0.04000000000000005,9,1141,0.2711379078868726,200.0,0.1650627491653215,2
0.1265811693373308,0.004384189523872896,0.08946422422374344,200,30,1.0,1.0,4,1142,0.412509394275615,200.0,0.019253880867819116,2
0.1514745748916464,0.06138245826230694,0.0212645619926515,200,30,1.0,0.2199999999999981,11,1140,0.12242018937242054,200.0,0.010990694737760435,2
0.0663253217213199,0.04064404450727938,0.15377039861792707,200,30,1.0,0.7399999999999998,9,1144,0.2974685678988365,200.0,0.2092486890023709,2
0.16960739157053104,0.016902350510752822,0.0355659453503892,200,30,0.0,0.7399999999999998,5,1146,0.1731505451100181,200.0,0.24749422800212426,3
0.19191209551408436,0.00974019085298776,0.0008799860232009155,200,30,1.0,0.98,8,1145,0.25849485617093676,200.0,0.2131790774074228,1
0.04025016790263419,0.011619338335885507,0.1560902072504151,200,30,1.0,0.0,12,1143,0.17408850504516252,200.0,0.18532923708880555,1
0.12276129268309988,0.09249409028668856,0.06781437723726051,200,30,1.0,0.0,11,1147,0.1961668685010319,200.0,0.12288978654965116,3
0.028834111920829544,0.049189762641797884,0.0459465379100661,200,30,1.0,0.0,8,1151,0.39833406693664586,200.0,0.10323472586804966,3
0.10970876564683146,0.00529629047380847,0.03945113871089698,200,30,1.0,0.0,10,1150,0.31527807483643966,200.0,0.14640809704036534,3
0.0323870976530926,0.002581621072623812,0.1381656776584429,200,30,1.0,0.039999999999999994,6,1148,0.009702627956048721,200.0,0.2067734262666378,2
0.19519840522372645,0.03250175829140001,0.15787284668367343,200,30,1.0,0.2000000000000001,6,1156,0.11057705672283888,200.0,0.04791700540470949,3
0.052101626992491504,0.09647142272352434,0.0845757031192928,200,30,0.0,0.0,11,1153,0.10309141561214678,200.0,0.23974727874607749,2
0.10214063217200452,0.03823834086029639,0.12856545695792546,200,30,0.0,0.21999999999999958,9,1149,0.4060865897562547,200.0,0.07684313200034362,2
0.03862866095552405,0.05161355903677284,0.12319770471192132,200,30,1.0,0.0,12,1154,0.019894150854284993,200.0,0.0784086782787994,3
0.1212706713349378,0.09429295121955854,0.13446361886848188,200,30,0.0,0.12,6,1152,0.1363241270403405,200.0,0.037384101971004016,1
0.1418178159572441,0.07423252897942578,0.1618476855491842,200,30,0.0,0.2999999999999994,5,1155,0.45820169184606646,200.0,0.10706922086649315,3
0.019311923983458365,0.07839108422538822,0.1975386128545702,200,30,0.0,0.0,10,1157,0.2924893878681386,200.0,0.02807194857367253,2
0.18131482696095932,0.0709556343775407,0.1655706028071343,200,30,0.0,1.0,9,1159,0.07975066485493719,200.0,0.17390188361503997,2
0.08864689774099607,0.07349621044139404,0.0275034582074773,200,30,0.0,0.19999999999999998,9,1160,0.2860904080558802,200.0,0.10800706332814107,2
0.06416340234947351,0.08733634645363135,0.0495813688063299,200,30,0.0,0.5399999999999998,9,1158,0.31926033691799865,200.0,0.14443195988449434,1
0.18942280771582842,0.07584518294909903,0.10192609288465304,200,30,1.0,1.0,9,1166,0.3211262961621011,200.0,0.24596795063035265,1
0.1565024954228452,0.02487209219651146,0.09023865012112622,200,30,1.0,0.43999999999999906,4,1164,0.468431798074569,200.0,0.08362088279103848,3
0.047140168240305355,0.06306876138161258,0.19533350087570867,200,30,1.0,0.0,11,1163,0.0164838683094527,200.0,0.14535782296005625,2
0.03116501986080394,0.055171220255192444,0.002430907487431715,200,30,0.0,0.7400000000000001,3,1167,0.32337952365796596,200.0,0.04732603980240062,3
0.05723185520045492,0.008953248010454199,0.06113066352708784,200,30,1.0,0.0,12,1161,0.17952458379353498,200.0,0.059836389218748724,1
0.17224920691623705,0.07657645840107617,0.17828633755029377,200,30,1.0,1.0,4,1162,0.014181329498365572,200.0,0.10911598552435173,1
0.026002356557130298,0.019234334828396232,0.05406100455290357,200,30,1.0,1.0,9,1165,0.09968652196492465,200.0,0.13360739313232683,1
0.04481173656968584,0.08978321230474402,0.026430583854261697,200,30,0.0,0.21999999999999958,7,1170,0.30210192890315385,200.0,0.13814680601438034,2
0.09785893426050646,0.05580235073726206,0.19815697804243,200,30,0.0,1.0,7,1169,0.14669749964749118,200.0,0.22372310978080476,1
0.13495895361945323,0.09149763519184734,0.07498532915082942,200,30,1.0,0.8599999999999999,4,1171,0.18331778995141562,200.0,0.12156385701725453,2
0.03908269895144667,0.0059179299926832435,0.09295035048575136,200,30,0.0,1.0,3,1172,0.08324977919385236,200.0,0.15586393909802873,2
0.1926720632119104,0.0473610454083393,0.09450874544891363,200,30,0.0,0.0,11,1168,0.2484007766640194,200.0,0.09145960751140103,1
0.10252917733348843,0.015261138936026842,0.09562785947097327,200,30,1.0,0.0,11,1174,0.43047168296063437,200.0,0.0407359681794306,3
0.15246890778696207,0.09106812451916191,0.15883217211441875,200,30,1.0,0.47999999999999915,6,1178,0.3360280686962655,200.0,0.02439802690437963,2
0.1246457437355794,0.049303201903493465,0.17476913443180112,200,30,0.0,1.0,5,1176,0.03151559201693648,200.0,0.08805673772652133,2
0.0423067072776181,0.010918613986906321,0.015831957760629338,200,30,0.0,1.0,7,1175,0.21846181506986448,200.0,0.17576134541662358,2
0.16847682487941434,0.021765093424314208,0.18650136057021952,200,30,0.0,0.0,11,1173,0.44600796089227684,200.0,0.05256841463166184,1
0.1578433918697375,0.06433549718176289,0.03679417380062708,200,30,0.0,0.0,11,1177,0.40862218491821867,200.0,0.2293125078090271,2
0.16516216065776007,0.07799066568437509,0.12580134276561533,200,30,1.0,0.0,6,1180,0.25479511574318714,200.0,0.0035195621671174674,3
0.12738718241036345,0.01794780450539677,0.09216529350970294,200,30,0.0,0.0,7,1184,0.23265507544868302,200.0,0.1980723167685093,3
0.17134076304562532,0.03580570197661479,0.18419648084386742,200,30,1.0,0.0,11,1183,0.4626811943220293,200.0,0.08143684537356827,3
0.1730328488887189,0.059476667866980096,0.03163142267913006,200,30,0.0,1.0,4,1179,0.14376418347933095,200.0,0.03647610623174983,1
0.12383680639981792,0.06769808021724233,0.19250079140641052,200,30,1.0,1.0,5,1181,0.12439361888199338,200.0,0.031974455862222896,2
0.1449093106160733,0.025517320913556674,0.14221759404636536,200,30,1.0,0.7199999999999998,9,1186,0.451614055929496,200.0,0.22970171626598923,2
0.17067685414418068,0.031156098664413254,0.11040107423937945,200,30,1.0,0.4199999999999995,5,1182,0.05927811859053502,200.0,0.016510096166255813,2
